month,channel,is_complete_month,cost,leads,first_order_orders,first_order_users_proxy,first_order_revenue,first_order_formal_revenue,first_order_net_revenue,first_order_refund_revenue,repeat_leads,repeat_leads_90d,cac,cac_rate,first_order_conversion_rate,channel_roi,repeat_lead_rate,repeat_lead_rate_90d
2025-07,电商品4,False,222.36000000,2,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,电商瑜伽1,False,655.77000000,5,1,1,880.00000000,880.00000000,880.00000000,0.00000000,3,0,655.77000000,0.74519318,0.20000000,1.34193391,0.60000000,0.00000000
2025-07,电商瑜伽1-包裹卡,False,236276.71000000,2238,55,55,91009.00000000,92651.00000000,91009.00000000,1642.00000000,749,360,4295.94018182,2.59619060,0.02457551,0.38517973,0.33467382,0.16085791
2025-07,电商瑜伽1-直播,False,209649.77000000,1735,45,45,81997.20000000,81997.20000000,81997.20000000,0.00000000,521,78,4658.88377778,2.55679182,0.02593660,0.39111514,0.30028818,0.04495677
2025-07,电商组合1-抖音直播,False,271.67000000,2,0,0,0.00000000,0.00000000,0.00000000,0.00000000,1,0,,,0.00000000,0.00000000,0.50000000,0.00000000
2025-07,百度,False,4983055.20000000,34687,1513,1513,2970450.99000000,2968131.01000000,2922983.54000000,45147.47000000,862,91,3293.49319233,1.70478387,0.04361865,0.59611039,0.02485081,0.00262346
2025-07,百度-免费,False,114.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,百度直播,False,147478.73000000,1698,17,17,29187.33000000,30824.00000000,29187.33000000,1636.67000000,8,0,8675.21941176,5.05283388,0.01001178,0.19790874,0.00471143,0.00000000
2025-07,真祺-sp-短直视频,False,36227.69000000,241,20,20,40338.00000000,40638.00000000,40338.00000000,300.00000000,22,17,1811.38450000,0.89810328,0.08298755,1.11345769,0.09128631,0.07053942
2025-07,知乎,False,0.00000000,18,1,1,1899.50000000,1880.00000000,1880.00000000,0.00000000,2,0,0.00000000,0.00000000,0.05555556,,0.11111111,0.00000000
